id,name,brand,address.addr1,address.city,address.region,address.country,latitude,longitude,check_in_at,check_in,check_out_at,check_out,event,nights,sale_price,taxes,total_price,url
145a0b10-a646-4c30-9442-26e0cfd53c01,Graduate Providence,Independent,11 Dorrance St,Providence,RI,US,41.824365,-71.413375,5/29/2023 0:00,"Mon, May 29",5/29/2023 19:00,"Mon, May 29",Brown University Graduation,1,529,79,608,https://www.gohoken.com/hotels/145a0b10-a646-4c30-9442-26e0cfd53c01/7b0dbf61-8990-4d79-b8a0-25e6cd3a94e2
257092b6-05a0-4293-bc2d-0d4969d23ac6,The Maxwell Hotel - A Staypineapple Hotel,Independent,300 Roy St,Seattle,WA,US,47.625655,-122.351145,7/19/2023 0:00,"Wed, Jul 19",7/19/2023 20:00,"Wed, Jul 19",The Celebration Tour Madonna Seattle ,1,507,110,617,https://www.gohoken.com/hotels/257092b6-05a0-4293-bc2d-0d4969d23ac6/9e25b2bd-333a-4b89-91b9-bf302e59e120
8d0a9460-50f7-4273-9cfd-01a8e34373e4,The Mediterranean Inn,Independent,425 Queen Anne Ave N,Seattle,WA,US,47.62304,-122.35696,7/19/2023 0:00,"Wed, Jul 19",7/19/2023 20:00,"Wed, Jul 19",The Celebration Tour Madonna Seattle ,1,399,92,491,https://www.gohoken.com/hotels/8d0a9460-50f7-4273-9cfd-01a8e34373e4/9e25b2bd-333a-4b89-91b9-bf302e59e120
3984c175-9c1f-4ff1-b8a1-6caa3ae05f6b,Graduate Minneapolis,Independent,615 Washington Ave SE,Minneapolis,MN,US,44.97376,-93.23008,7/21/2023 0:00,"Fri, Jul 21",7/21/2023 19:00,"Fri, Jul 21",Beyonce Renaissance World Tour Minneapolis ,1,199,28,227,https://www.gohoken.com/hotels/3984c175-9c1f-4ff1-b8a1-6caa3ae05f6b/89828300-8792-4202-a07b-bb1aee1682f2
d5f518b4-b7b9-4bb2-95da-8224932a5940,The Inn at 97 Winder,Independent,97 Winder St,Detroit,MI,US,42.34162,-83.052061,7/27/2023 0:00,"Thu, Jul 27",7/27/2023 19:00,"Thu, Jul 27",Beyonce Renaissance World Tour Detroit,1,209,14,223,https://www.gohoken.com/hotels/d5f518b4-b7b9-4bb2-95da-8224932a5940/41d4bb36-b19d-43d9-a8a2-444cc3cd57e1
d5f518b4-b7b9-4bb2-95da-8224932a5940,The Inn at 97 Winder,Independent,97 Winder St,Detroit,MI,US,42.34162,-83.052061,8/6/2023 0:00,"Sun, Aug 6",8/6/2023 19:00,"Sun, Aug 6",The Celebration Tour Madonna Detroit,1,329,23,352,https://www.gohoken.com/hotels/d5f518b4-b7b9-4bb2-95da-8224932a5940/ea55bc17-846e-4652-a73a-857d54f96801
b6a4f233-38f9-4d3c-b83f-7221d5781b6e,B Ocean Resort Fort Lauderdale,InSite Group,1140 Seabreeze Blvd,Fort Lauderdale,FL,US,26.108635,-80.106535,4/14/2023 0:00,"Fri, Apr 14",4/16/2023 19:00,"Sun, Apr 16",Rock The Ocean's 2023 Tortuga Music Festival,2,999,389,2387,https://www.gohoken.com/hotels/b6a4f233-38f9-4d3c-b83f-7221d5781b6e/588a9418-1cee-4f29-97c1-441e3b560833
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,InterContinental Hotels Group PLC,304 W Colonial Dr,Orlando,FL,US,28.552275,-81.383551,3/16/2023 23:00,"Thu, Mar 16",3/18/2023 19:00,"Sat, Mar 18",NCAA First/Second Rounds Orlando,2,289,72,650,https://www.gohoken.com/hotels/5a33a8b7-2575-494c-80b8-d575eab9e0a0/66c44d87-92d9-400a-914a-2d90379feba7
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,InterContinental Hotels Group PLC,304 W Colonial Dr,Orlando,FL,US,28.552275,-81.383551,3/16/2023 23:00,"Thu, Mar 16",3/19/2023 19:00,"Sun, Mar 19",NCAA First/Second Rounds Orlando,3,296,110,998,https://www.gohoken.com/hotels/5a33a8b7-2575-494c-80b8-d575eab9e0a0/66c44d87-92d9-400a-914a-2d90379feba7
dceb95d7-f1d6-4d56-adfb-434dd7bd92df,Kimpton Sawyer Hotel,InterContinental Hotels Group PLC,500 J St,Sacramento,CA,US,38.5802,-121.499505,3/17/2023 0:00,"Fri, Mar 17",3/18/2023 19:00,"Sat, Mar 18",NCAA First/Second Rounds Sacramento,1,519,168,687,https://www.gohoken.com/hotels/dceb95d7-f1d6-4d56-adfb-434dd7bd92df/7269cc77-c02f-48dc-aa37-6916388cde42
dceb95d7-f1d6-4d56-adfb-434dd7bd92df,Kimpton Sawyer Hotel,InterContinental Hotels Group PLC,500 J St,Sacramento,CA,US,38.5802,-121.499505,3/17/2023 0:00,"Fri, Mar 17",3/19/2023 19:00,"Sun, Mar 19",NCAA First/Second Rounds Sacramento,2,549,266,1364,https://www.gohoken.com/hotels/dceb95d7-f1d6-4d56-adfb-434dd7bd92df/7269cc77-c02f-48dc-aa37-6916388cde42
